Verb,Past simple,Past participle,Spanish verb
accept,accepted,accepted,aceptar
answer,answered,answered,contestar
arrive,arrived,arrived,llegar
ask,asked,asked,preguntar
belong,belonged,belonged,pertenecer
change,changed,changed,cambiar
clean,cleaned,cleaned,limpiar
climb,climbed,climbed,trepar
close,closed,closed,cerrar
consider,considered,considered,considerar
cook,cooked,cooked,cocinar
count,counted,counted,contar
dance,danced,danced,bailar
dare,dared,dared,atreverse
date,dated,dated,salir con alguien
deliver,delivered,delivered,entregar
dress,dressed,dressed,vestir
end,ended,ended,terminar
enjoy,enjoyed,enjoyed,disfrutar
erase,erased,erased,borrar
expect,expected,expected,esperar
fill,filled,filled,llenar
finish,finished,finished,terminar
follow,followed,followed,seguir
help,helped,helped,ayudar
hurry,hurried,hurried,apresurar
intend,intended,intended,intentar
jump,jumped,jumped,saltar
learn,learned,learned,aprender
like,liked,liked,gustar
listen to,listened to,listened to,escuchar
live,lived,lived,vivir
love,loved,loved,amar
look after,looked after,looked after,cuidar
look at,looked at,looked at,mirar
miss,missed,missed,fallar
name,named,named,nombrar
need,needed,needed,necesitar
open,opened,opened,abrir
order,ordered,ordered,ordenar
plan,planned,planned,planear
plant,planted,planted,plantar
play,played,played,jugar
point,pointed,pointed,señalar
practice,practiced,practiced,practicar
push,pushed,pushed,empujar
rain,rained,rained,llover
remember,remembered,remembered,recordar
rent,rented,rented,rentar
repeat,repeated,repeated,repetir
resist,resisted,resisted,resistir
show,showed,showed,mostrar
smoke,smoked,smoked,fumar
start,started,started,comenzar
stay,stayed,stayed,permanecer
stop,stopped,stopped,detener
study,studied,studied,estudiar
talk,talked,talked,conversar
travel,traveled,traveled,viajar
try,tried,tried,tratar
turn,turned,turned,voltear
type,typed,typed,teclear
use,used,used,usar
visit,visited,visited,visitar
walk,walked,walked,caminar
wait,waited,waited,esperar
want,wanted,wanted,querer
wash,washed,washed,lavar
wish,wished,wished,desear
work,worked,worked,trabajar
